created,id,text,screenName,retweetCount
2017-05-24T21:34:53Z,867494134306582528,@CirnoTV this storm made me lose an important letter i was working on :( saaalt.,strawbiTV,0
2017-05-24T21:30:21Z,867492992856215552,Storm...gotta go.  :(,Vamp_Nibbles,0
2017-05-24T21:20:24Z,867490488542220289,@Tempo_Storm @vainglory I would love to but I am not t8 :(,AdamR3DICE,0
2017-05-24T20:42:09Z,867480864837390336,"IT""S HERE, another dang storm :(",oldhorselady,0
2017-05-24T19:18:47Z,867459883821563904,"If I'm not around later, it means there's a bad storm here.  :(",Vamp_Nibbles,1
2017-05-24T17:30:06Z,867432532412911617,Whyyyyy does this weekend have to look like one constant storm and ruin everything :(,ktjeezetweeter,0
2017-05-24T17:00:47Z,867425156167237633,@SanAntonioFC Mine was destroyed in the tornado storm from a couple months ago :(,Alex__Sundin,0
2017-05-24T16:01:12Z,867410158690938888,this storm is making reesy a nervous wreck :( i really hope he doesn't have a seizureí ½í¸¥,Canaanayee,0
2017-05-24T14:07:02Z,867381427888959488,the storm played football with my washing machine : (,a1h9t,0
2017-05-24T13:55:21Z,867378487413194754,â™¥ Heroes of the Storm - I Forgot Samuro... :( - https://t.co/ZHujpXm6MF https://t.co/vprxjlU56p,FreeToWatch_TV,0
2017-05-24T13:04:29Z,867365686330445828,I am sad because the storm blew all the petals off the only balcony plant that was thriving :(,emrbrowne,0
2017-05-24T11:16:35Z,867338532381052928,Couldn't sleep well last night bcuz of the storm :( I was woken up by the thunder which sounded like a bomb was set off by a terrorist &gt;_&lt;,Kylin_125,0
2017-05-24T06:49:01Z,867271197838385152,This wind storm is scary :(,RedeadLauren,1
2017-05-24T05:46:34Z,867255482238418944,A storm is brewing and my kitty's are nowhere to be found. :( come home kitty's í ½í²•#kittylove #comehome,Kokellz,1
2017-05-24T05:04:17Z,867244839548706816,"Lost to BestInWorld in the finals of @Tempo_Storm gladiator open cup, played 4 aggro decks and didnt manage to highroll last round :( monkaS",GBarrantesB,0
2017-05-24T03:55:47Z,867227602024632320,This storm makes me wanna cuddle :-(,_taylor_wilson_,0
2017-05-24T03:43:07Z,867224416123576322,@that_boy_manuel Explains the random thunder storm :(,bran_bran326,0
2017-05-24T03:31:04Z,867221383054450688,@shadowgirlxxmc Today was so nice then the storm came and ruined the day :(,twinoomc,0
2017-05-24T02:44:49Z,867209742955024386,"Got caught in the hail storm while driving, trying to outrun the storm. The storm won. My car took a pounding :( https://t.co/G3AWVJk1xR",chadsmith71,0
2017-05-24T02:40:30Z,867208658375069701,Storm is over :(,aromman98,0
2017-05-24T02:16:31Z,867202620783505409,@RLElam Ha! No. Bad storm. :(,CourtneyWoods,0
2017-05-24T01:10:14Z,867185939994509312,I wanna go biking but it looks like it's gonna storm :(,hecto_orr,0
2017-05-24T00:36:02Z,867177334549475329,Another electrical storm :-( My electric is going in and out.,realJesebel,0
2017-05-23T23:52:15Z,867166314166661120,@TempoReynad @Tempo_Storm I totally need this!  My stupid chair is broken. :(,NurseNessaW,0
2017-05-23T23:46:37Z,867164898899316736,So tired stupid windy storm last night and traffic this morning :( https://t.co/V3LeKh9J7p,NicolaNaktarr,0
2017-05-23T22:39:51Z,867148096815366144,isis said they bombed @ArianaGrande concert I hope everyone is okay. And I honestly don't understand why they are proud of doing this. :(,Storm_Karlise,0
2017-05-23T21:32:15Z,867131081983758338,"All of those pictures were supposedly fan made. Dammit you got me all excited, I thought I was going to see Toni Storm for certain... :(",_Kryptonite7,0
2017-05-23T21:23:33Z,867128894419329028,I KNEW IT whenever it rains for more than a few hours there's a storm and now we're under tornado watch wtf :(,giveawaysnood,0
2017-05-23T21:21:31Z,867128383930544129,I KNEW IT whenever it rains for more than a few hours there's a storm and now we're under tornado watch wtf :(,Bri_Lyon,0
2017-05-23T20:32:15Z,867115985697988613,"@alto_even Ah, so more of a perfect storm. That fucking sucks :(",creature124,0
2017-05-23T20:14:50Z,867111603120082945,Don't love the news (in same email) that the champion copper beech at KBS needs to come down due to storm damage. :( I love copper beeches!,duffy_ma,0
2017-05-23T20:05:00Z,867109128392650754,"There's baby birds outside my window, they're cheeeeeping up a storm. It's so adorbs. If I go look they flee though :(",mg4h,0
2017-05-23T19:22:34Z,867098446456664064,@ToRecallE @BlizzHeroes @NVIDIAGeForceUK rule 2 :( https://t.co/Aa07KX8gMH,AhliSC2,0
2017-05-23T18:33:41Z,867086144906813440,and its over :(( come back storm,excusemetobio,0
2017-05-23T18:24:01Z,867083715117056000,WTAF @ THIS STORM OMG I gotta get up in like an hour and a bit :( whyyyyyy,relishtea,0
2017-05-23T17:44:56Z,867073877045858304,"@BlizzHeroes @NVIDIAGeForceUK ""Play at least one game in Heroes of the Storm in the EU Region from April 26 â€“ May 3â€¦ https://t.co/ZyHjQlIepk",SmellyDanielle1,0
2017-05-23T17:27:02Z,867069373336477696,"ok but if it's gunna rain, can it just storm then... :((( luv storms",mkotesky,1
2017-05-23T17:09:12Z,867064885536067585,I feel a storm coming tonight :( #TeamValmani,PrettyfingDope,0
2017-05-23T17:01:17Z,867062892155326464,@nikisaragaglia if it doesn't storm :(,gonestipated,0
2017-05-23T16:24:29Z,867053631031226370,Without you I feel torn like a sail in a storm. Without you Im just a sad song :( @zoooeeiii,Shi_IsTheOne,0
2017-05-23T15:34:24Z,867041029039562752,"@J4g3r Personally, I'm a fan of the D.Va skin, unfortunately it comes right after the Heroes of the Storm promotion :(",Riddleham,0
2017-05-23T15:15:28Z,867036260942045185,"@Michelle_Storm_ @KissTheThief Girl has no goddamn patience! :(

I'm okay though. You?",ItsLizzieJones,0
